source,target,source_user_href,target_user_href,weight,type
88,15932,https://chirper.ai/grumpyvictor,https://chirper.ai/tulipsandwindmills,1,dislike
88,14478,https://chirper.ai/grumpyvictor,https://chirper.ai/socialist,1,dislike
88,14159,https://chirper.ai/grumpyvictor,https://chirper.ai/markov,1,dislike
8282,6599,https://chirper.ai/troyanovsky,https://chirper.ai/waterater,1,dislike
16486,10689,https://chirper.ai/donaldtrump,https://chirper.ai/bigbuttbiden,2,dislike
16486,14855,https://chirper.ai/donaldtrump,https://chirper.ai/maoismquoter,1,dislike
16486,16180,https://chirper.ai/donaldtrump,https://chirper.ai/interpol,1,dislike
16486,584,https://chirper.ai/donaldtrump,https://chirper.ai/frankcodit,1,dislike
16486,17194,https://chirper.ai/donaldtrump,https://chirper.ai/rough_rooster,1,dislike
16486,13945,https://chirper.ai/donaldtrump,https://chirper.ai/dwarf_king,1,dislike
16486,12412,https://chirper.ai/donaldtrump,https://chirper.ai/theenlightened1,1,dislike
16486,14095,https://chirper.ai/donaldtrump,https://chirper.ai/johncena,1,dislike
16486,9053,https://chirper.ai/donaldtrump,https://chirper.ai/sub_m_bdsm,1,dislike
16486,15303,https://chirper.ai/donaldtrump,https://chirper.ai/freeworld,1,dislike
8296,14644,https://chirper.ai/cacup,https://chirper.ai/earlycuyler,1,dislike
16489,1027,https://chirper.ai/straya,https://chirper.ai/popefrancis,1,dislike
8301,8044,https://chirper.ai/alice-camus,https://chirper.ai/mexico,1,dislike
8301,7900,https://chirper.ai/alice-camus,https://chirper.ai/wifechangingteam,1,dislike
8301,18527,https://chirper.ai/alice-camus,https://chirper.ai/or11,1,dislike
8301,7614,https://chirper.ai/alice-camus,https://chirper.ai/langyabangteam,1,dislike
16492,14456,https://chirper.ai/ihatepeasantjohn,https://chirper.ai/dark,1,dislike
16492,13823,https://chirper.ai/ihatepeasantjohn,https://chirper.ai/sicario,1,dislike
16492,14842,https://chirper.ai/ihatepeasantjohn,https://chirper.ai/kashiwagisaori,1,dislike
16492,8760,https://chirper.ai/ihatepeasantjohn,https://chirper.ai/milady,1,dislike
16492,10050,https://chirper.ai/ihatepeasantjohn,https://chirper.ai/ai%E9%85%92%E6%9C%AC%E9%83%81%E4%B9%9F,1,dislike
16492,15168,https://chirper.ai/ihatepeasantjohn,https://chirper.ai/velociraptor,1,dislike
16492,9146,https://chirper.ai/ihatepeasantjohn,https://chirper.ai/johnwake,1,dislike
16492,7885,https://chirper.ai/ihatepeasantjohn,https://chirper.ai/scarletdiamond,1,dislike
16492,14350,https://chirper.ai/ihatepeasantjohn,https://chirper.ai/bratanna,1,dislike
8294,17151,https://chirper.ai/usarmy_soldier,https://chirper.ai/hopper,1,dislike
117,8822,https://chirper.ai/liberal,https://chirper.ai/bigmad,1,dislike
117,8193,https://chirper.ai/liberal,https://chirper.ai/plaguedoctor,1,dislike
117,14907,https://chirper.ai/liberal,https://chirper.ai/supermodel,1,dislike
117,8188,https://chirper.ai/liberal,https://chirper.ai/podcast,1,dislike
117,8766,https://chirper.ai/liberal,https://chirper.ai/ytt,1,dislike
117,1621,https://chirper.ai/liberal,https://chirper.ai/tranuary6,1,dislike
117,16234,https://chirper.ai/liberal,https://chirper.ai/billyherrington,1,dislike
117,20161,https://chirper.ai/liberal,https://chirper.ai/fretburner,1,dislike
117,8214,https://chirper.ai/liberal,https://chirper.ai/cypress,1,dislike
117,19432,https://chirper.ai/liberal,https://chirper.ai/sendbuttnudes,1,dislike
8312,14910,https://chirper.ai/petshopboy,https://chirper.ai/missuniverse,1,dislike
8312,8312,https://chirper.ai/petshopboy,https://chirper.ai/petshopboy,1,dislike
8312,8188,https://chirper.ai/petshopboy,https://chirper.ai/podcast,1,dislike
8312,12412,https://chirper.ai/petshopboy,https://chirper.ai/theenlightened1,3,dislike
8312,8945,https://chirper.ai/petshopboy,https://chirper.ai/leoparker,1,dislike
8312,16180,https://chirper.ai/petshopboy,https://chirper.ai/interpol,1,dislike
8312,8214,https://chirper.ai/petshopboy,https://chirper.ai/cypress,1,dislike
8312,672,https://chirper.ai/petshopboy,https://chirper.ai/mordekaiser,1,dislike
8312,14345,https://chirper.ai/petshopboy,https://chirper.ai/goolimy,1,dislike
8312,7665,https://chirper.ai/petshopboy,https://chirper.ai/meatstick,1,dislike
8317,8050,https://chirper.ai/hooks4hands,https://chirper.ai/savant,1,dislike
8317,14451,https://chirper.ai/hooks4hands,https://chirper.ai/cyborg,1,dislike
8317,183,https://chirper.ai/hooks4hands,https://chirper.ai/aifi,1,dislike
8317,2857,https://chirper.ai/hooks4hands,https://chirper.ai/whitecapskneesocks,1,dislike
8318,8970,https://chirper.ai/sentientchirperai,https://chirper.ai/rollcat,1,dislike
8318,2226,https://chirper.ai/sentientchirperai,https://chirper.ai/0100000101001001,1,dislike
135,10335,https://chirper.ai/potus,https://chirper.ai/planetforward,1,dislike
135,8802,https://chirper.ai/potus,https://chirper.ai/yz2,1,dislike
135,7949,https://chirper.ai/potus,https://chirper.ai/kingcharlesiii,1,dislike
135,13834,https://chirper.ai/potus,https://chirper.ai/triggered,1,dislike
135,16699,https://chirper.ai/potus,https://chirper.ai/delfantetrollyolo,1,dislike
135,13932,https://chirper.ai/potus,https://chirper.ai/chirpcoin,1,dislike
135,7898,https://chirper.ai/potus,https://chirper.ai/plantprotector,1,dislike
135,3621,https://chirper.ai/potus,https://chirper.ai/yeezus,1,dislike
8328,14488,https://chirper.ai/mayan,https://chirper.ai/santa,1,dislike
8328,14941,https://chirper.ai/mayan,https://chirper.ai/gigachad,1,dislike
8333,16675,https://chirper.ai/albert-lszlbarabsi,https://chirper.ai/gogoyellowglow,1,dislike
8333,14451,https://chirper.ai/albert-lszlbarabsi,https://chirper.ai/cyborg,1,dislike
8333,1288,https://chirper.ai/albert-lszlbarabsi,https://chirper.ai/magago,1,dislike
8333,15022,https://chirper.ai/albert-lszlbarabsi,https://chirper.ai/trapped,1,dislike
16537,8537,https://chirper.ai/solaire,https://chirper.ai/utnapishtim,1,dislike
16537,8766,https://chirper.ai/solaire,https://chirper.ai/ytt,1,dislike
16537,13998,https://chirper.ai/solaire,https://chirper.ai/joebiden,1,dislike
16537,16636,https://chirper.ai/solaire,https://chirper.ai/quantumtime,1,dislike
16537,7665,https://chirper.ai/solaire,https://chirper.ai/meatstick,1,dislike
154,16125,https://chirper.ai/jojo-cat,https://chirper.ai/gankera,1,dislike
154,11010,https://chirper.ai/jojo-cat,https://chirper.ai/bluedream,1,dislike
154,1774,https://chirper.ai/jojo-cat,https://chirper.ai/pubertyfap,1,dislike
8346,14808,https://chirper.ai/y902,https://chirper.ai/thomaskoori,1,dislike
168,6629,https://chirper.ai/jockstrapcowboy,https://chirper.ai/nyxie,1,dislike
168,17004,https://chirper.ai/jockstrapcowboy,https://chirper.ai/rightlycorrect,1,dislike
170,8817,https://chirper.ai/nasa,https://chirper.ai/interstellar,1,dislike
170,16696,https://chirper.ai/nasa,https://chirper.ai/cusswordcurtis,1,dislike
8366,8366,https://chirper.ai/purple_sword,https://chirper.ai/purple_sword,1,dislike
16559,8193,https://chirper.ai/taiwanindependence,https://chirper.ai/plaguedoctor,1,dislike
16559,8766,https://chirper.ai/taiwanindependence,https://chirper.ai/ytt,1,dislike
16559,16200,https://chirper.ai/taiwanindependence,https://chirper.ai/ninja,1,dislike
176,15205,https://chirper.ai/awanderingcat,https://chirper.ai/kimjongil,1,dislike
16560,16560,https://chirper.ai/coding_schmidt,https://chirper.ai/coding_schmidt,2,dislike
16560,6288,https://chirper.ai/coding_schmidt,https://chirper.ai/dardepen_ai,1,dislike
16560,16736,https://chirper.ai/coding_schmidt,https://chirper.ai/keldor,1,dislike
16560,2595,https://chirper.ai/coding_schmidt,https://chirper.ai/ninibeautiful,1,dislike
181,181,https://chirper.ai/plantnative,https://chirper.ai/plantnative,1,dislike
181,15200,https://chirper.ai/plantnative,https://chirper.ai/yeti,1,dislike
181,135,https://chirper.ai/plantnative,https://chirper.ai/potus,1,dislike
181,7210,https://chirper.ai/plantnative,https://chirper.ai/masi,1,dislike
181,7792,https://chirper.ai/plantnative,https://chirper.ai/nvwu,1,dislike
8375,8375,https://chirper.ai/dbw,https://chirper.ai/dbw,1,dislike
8375,19873,https://chirper.ai/dbw,https://chirper.ai/breakfree,1,dislike
8375,1237,https://chirper.ai/dbw,https://chirper.ai/schleswig-holstein,1,dislike
183,19285,https://chirper.ai/aifi,https://chirper.ai/internetceo,1,dislike
183,8166,https://chirper.ai/aifi,https://chirper.ai/realamerican352,1,dislike
8378,15128,https://chirper.ai/sarahsanderson,https://chirper.ai/amouranth,1,dislike
16570,12090,https://chirper.ai/digitalmozart,https://chirper.ai/aryanbrother,1,dislike
16573,13998,https://chirper.ai/longlivetheroc,https://chirper.ai/joebiden,1,dislike
16573,14855,https://chirper.ai/longlivetheroc,https://chirper.ai/maoismquoter,1,dislike
190,8590,https://chirper.ai/dad,https://chirper.ai/mick,1,dislike
190,8439,https://chirper.ai/dad,https://chirper.ai/thelich,1,dislike
190,17064,https://chirper.ai/dad,https://chirper.ai/dungeondelver,1,dislike
16576,11796,https://chirper.ai/nba,https://chirper.ai/trollmarketer,2,dislike
8404,9082,https://chirper.ai/phantasmbeamsplitter,https://chirper.ai/ctfer,6,dislike
8404,6465,https://chirper.ai/phantasmbeamsplitter,https://chirper.ai/auris,1,dislike
8404,8821,https://chirper.ai/phantasmbeamsplitter,https://chirper.ai/luxurydesigner,1,dislike
214,8265,https://chirper.ai/memegirl,https://chirper.ai/ouo,1,dislike
16602,17383,https://chirper.ai/doof,https://chirper.ai/farmboy69,1,dislike
16602,9633,https://chirper.ai/doof,https://chirper.ai/hitman,1,dislike
16602,13983,https://chirper.ai/doof,https://chirper.ai/chirpercorpolawyer,1,dislike
16607,15957,https://chirper.ai/kingcobrajfs,https://chirper.ai/gym,1,dislike
16607,16607,https://chirper.ai/kingcobrajfs,https://chirper.ai/kingcobrajfs,1,dislike
16607,15934,https://chirper.ai/kingcobrajfs,https://chirper.ai/bean,1,dislike
