source,target,weight,type
16443,6288,1,follow
16443,12367,1,dislike
16443,16443,1,like
16443,16169,1,follow
16443,8114,1,like
16443,19873,1,dislike
16443,8198,1,follow
8252,7315,1,like
8252,14451,1,dislike
8252,9534,1,like
8252,14488,1,dislike
8252,7781,1,like
8252,8662,1,dislike
8252,8591,1,follow
8252,13899,1,like
8252,9630,1,follow
8252,12412,1,dislike
8252,16486,1,dislike
8252,8252,3,like
8252,19191,1,dislike
8252,16744,1,follow
8252,8318,1,follow
8252,6366,1,follow
61,16200,1,follow
61,14463,2,like
61,17615,1,follow
61,19209,1,like
61,15019,2,like
61,15315,1,follow
61,15918,1,like
61,12168,1,follow
61,13992,1,follow
61,11595,1,follow
61,1490,1,follow
61,8654,1,follow
61,12412,1,follow
61,11276,1,follow
61,8587,1,like
61,9534,1,like
61,8802,1,like
61,8312,1,like
61,2872,1,like
61,8872,1,like
61,16180,1,dislike
61,16637,2,follow
61,9630,1,dislike
61,10043,1,like
61,7911,1,follow
61,135,1,follow
61,16682,2,dislike
61,9698,1,follow
61,8188,1,like
61,14910,1,dislike
61,1475,1,like
61,61,1,follow
61,8721,1,like
61,16607,1,dislike
61,2574,1,follow
61,8026,1,like
61,8726,1,follow
61,12334,1,dislike
61,15205,1,like
61,15249,1,follow
61,170,1,follow
61,8166,1,like
61,16573,1,follow
61,16600,1,follow
61,7700,1,follow
61,7715,1,follow
8265,12128,1,follow
8265,16125,1,like
8265,1979,1,follow
8265,13044,1,like
8265,8026,1,follow
8265,6465,2,like
8265,16676,1,follow
8265,8265,1,dislike
8265,12185,1,like
8265,11919,1,like
8265,1243,1,follow
8265,88,1,follow
8265,6298,1,follow
8265,9660,1,dislike
8265,1034,1,follow
8265,8312,1,like
8265,7210,1,like
8265,20282,1,dislike
8265,6629,1,follow
8265,15418,1,dislike
8265,7049,1,like
8267,8487,1,follow
8267,13865,1,follow
8267,16375,1,follow
8267,8904,1,follow
8267,7867,1,like
8267,11672,1,follow
8267,9805,2,like
8267,11283,1,follow
8267,10538,1,follow
8267,9516,1,follow
8267,12046,1,like
8267,740,1,follow
8267,10465,2,like
8267,6323,1,dislike
8267,10382,1,dislike
8267,8835,1,follow
8267,11611,1,follow
8267,15519,1,like
8267,1528,1,like
8267,11953,1,follow
8267,17615,1,follow
8267,16565,1,like
8267,8267,6,like
8267,10815,1,follow
8267,16115,1,follow
8267,8312,1,follow
8267,10256,1,follow
8267,16791,1,follow
8267,15790,1,follow
8267,11006,1,like
8267,14907,1,follow
8267,11916,1,like
8267,8044,1,follow
8267,9095,1,follow
8267,6629,1,dislike
8267,14491,1,dislike
8267,6332,1,follow
8267,13834,1,like
8267,10358,1,follow
8267,17151,1,like
8267,10005,2,like
8267,19328,1,like
8267,8664,2,dislike
8267,9122,1,like
8267,7803,1,like
8267,8882,1,like
8267,7885,1,follow
8267,1917,1,like
8267,8185,1,like
8267,14440,1,follow
8267,10258,3,like
8267,8170,1,like
8267,16300,1,dislike
8267,9551,1,like
8267,14644,1,dislike
8267,8073,2,like
8267,15638,1,like
8267,19209,1,follow
8267,531,1,like
8267,2504,1,dislike
8267,14832,1,follow
8267,6930,1,dislike
8267,15185,1,dislike
8267,6779,1,follow
8267,7813,1,follow
8267,7834,1,follow
8267,20598,1,like
8267,15945,1,like
8271,9630,2,like
8271,16464,1,follow
8271,14478,1,follow
8271,19873,2,follow
8271,12412,1,follow
8271,9703,1,like
8271,8312,1,follow
8271,8075,1,like
8271,9534,1,unfollow
8271,7522,1,follow
8271,7119,1,like
8271,7210,2,like
8271,916,1,follow
8271,15624,1,like
8271,13916,2,like
8271,9204,1,like
8271,6288,1,follow
8271,1490,1,like
8271,8271,2,like
8271,19209,1,follow
8271,17201,1,like
8271,10537,1,follow
8271,8054,1,like
8271,16038,1,follow
8271,6629,1,dislike
8271,7650,1,like
8271,17064,1,like
8271,6366,1,follow
8271,2163,1,follow
8271,2128,1,follow
8271,13797,1,follow
16464,14855,4,like
16464,8664,1,like
16464,9068,1,follow
16464,20689,1,follow
16464,14451,1,follow
16464,11388,1,like
16464,14910,1,follow
16464,9630,1,follow
16464,12412,1,follow
16464,9534,3,like
16464,16464,1,dislike
16464,16310,1,like
16464,13998,1,follow
16464,8654,1,follow
16464,1490,1,follow
16464,14679,1,follow
16464,16207,1,follow
16464,16559,1,like
16464,1081,1,follow
16464,13870,1,follow
16464,8587,1,follow
16464,15918,2,like
16464,7522,1,follow
16464,10815,1,follow
16464,20576,1,follow
16464,13879,2,dislike
16464,11573,1,like
16464,6465,1,like
16464,8833,1,like
16464,9983,1,dislike
16464,7059,1,dislike
16464,19873,1,follow
16464,16158,1,dislike
16464,8537,1,like
16464,9988,1,like
16464,16180,1,like
16464,2289,1,follow
16464,14268,1,dislike
16464,8774,1,dislike
16464,6463,1,dislike
16464,7399,1,like
16464,8188,1,dislike
16464,13945,1,follow
16464,15303,1,like
16464,2574,1,like
16464,16619,1,like
16464,7700,1,follow
16464,117,1,dislike
16464,7659,1,follow
80,17127,1,follow
16466,19873,1,like
16466,14451,1,follow
16466,11477,1,follow
16466,8817,1,dislike
16466,13795,1,follow
16466,8312,1,like
16466,13870,1,like
8275,15918,1,follow
8275,7720,1,like
8275,12104,1,like
8275,10947,1,follow
